objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,dob-dod,rights,collection,type,language,relation
wocim011,P799 MJE Ped.jpg,,M. Joycelyn Elders,image/jpeg,,,,"August 13, 1933 -",no,Photograph,University of Arkansas for Medical Sciences; Arkansas Children's Hospital; Philander Smith College; University of Minnesota; Arkansas Department of Health; U.S. Surgeon General; Pediatric Endocrinology; Arkansas Black Fall of Fame; Arkansas Womens Hall of Fame ,"Schaal, AR; Little Rock, AR; Washington, D.C.",34.7493,-92.3206,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim012,Patricia Newton.jpg,,Patricia A. Newton,image/jpeg,"Patricia A. Newton was a founding member of the Black Psychiatrists of America (BPA) and a celebrated advocate for Black psychiatrists and patients. Dr. Newton was one of the first APA/NIMH Fellows and the first woman chair of the Department of Psychiatry at Provident Hospital in Baltimore. Her clinical work centered on anxiety disorders with a special focus on posttraumatic stress disorder, as well as depression and chronic mental illness.",,,"August 11, 1945 - September 27, 2020",no,Photograph,University of Arkansas for Medical Sciences; Washington University School of Medicine; Johns Hopkins School of Hygiene and Public Health; Black Psychiatrists of America; Psychiatry,"Pine Bluff, AR; St. Louis, MO; Baltimore, MD",39.3359399,-76.6696922,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim013,Elders with ACH patient.jpg,,M. Joycelyn Elders at Arkansas Childrens Hospital,image/jpeg,,,,"August 13, 1933 -",no,Photograph,University of Arkansas for Medical Sciences; Arkansas Children's Hospital; Philander Smith College; University of Minnesota; Arkansas Department of Health; U.S. Surgeon General; Pediatric Endocrinology; Arkansas Black Fall of Fame; Arkansas Womens Hall of Fame ,"Schaal, AR; Little Rock, AR; Washington, D.C.",34.7422222,-92.2927778,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim014,FlorenceChar014.jpg,,Florence Char,image/jpeg,,,,"April 7, 1923 - October 10, 1998",no,Photograph,"University of Arkansas for Medical Sciences; Arkansas Children's Hospital; Johns Hopkins University, Peking University; State University of New York","Peking, China; Little Rock, AR; Baltimore, MD",34.7422222,-92.2927778,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim015,,60C87TaxpQQ,Freda McKissic Bush,video/mpeg,"Freda McKissic Bush, M.D., is an obstetrician/gynecologist with long experience in addressing issues of women's health.  She often speaks on topics such as sexual health, sexually transmitted diseases, and social behavior education.",,,,no,Photograph,University of Arkansas for Medical Sciences,,32.3250271,-90.1080883,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Audio,eng,
wocim016,Joycelyn Elders.jpg,,"M. Joycelyn Elders, U.S. Surgeon General",image/jpeg,,,,"August 13, 1933 -",no,Photograph,University of Arkansas for Medical Sciences; Arkansas Children's Hospital; Philander Smith College; University of Minnesota; Arkansas Department of Health; U.S. Surgeon General; Pediatric Endocrinology; Arkansas Black Fall of Fame; Arkansas Womens Hall of Fame ,"Schaal, AR; Little Rock, AR; Washington, D.C.",38.9072,-77.0369,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.","M. Joycelyn Elders Collection, M.D.  Historical Research Center, UAMS Library.",Image; Still Image,eng,
wocim017,Lidia Songandares.jpg,,"Lidia Gertrudis Sogandares, UAMS",image/jpeg,,,,"October 17, 1908 - March 21, 1971",no,Photograph,"University of Arkansas for Medical Sciences; Womens Hospital, Philadelpha; Santo Tomas Hospital; Gorgas Memorial Institute; University of Panama School of Medicine; Panamanian Academy of Medicine and Surgery; Panamamian Society of Obstetrics and Gynecology; National Medical Association; Red Cross","Taboga, Panama; Panama City, Panama; Little Rock, AR",34.7493,-92.3206,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim018,LidiaSogandares3.jpg,,Lidia Gertrudis Sogandares,image/jpeg,,,,"October 17, 1908 - March 21, 1971",no,Photograph,"University of Arkansas for Medical Sciences; Womens Hospital, Philadelpha; Santo Tomas Hospital; Gorgas Memorial Institute; University of Panama School of Medicine; Panamanian Academy of Medicine and Surgery; Panamamian Society of Obstetrics and Gynecology; National Medical Association; Red Cross","Taboga, Panama; Panama City, Panama; Little Rock, AR",8.9835,-79.5337,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim019,p15728coll1_1297_large.jpg,,"Bennie ""Mama"" McGuire, on a midwife appointment",image/jpeg,"Bennie ""Mama"" McGurie grew up on a farm in Hardemann County, TN.  Inspired by her grandmother who had been a midwife, she learned midwife techniques from a rural doctor.  Bennie McGurie moved to Marked Tree, Arkansas in 1914.  She was to deliver over a thousand babies during her lifetime.  When asked about her patients, Bennie reflected, ""Most of the ones I went to were broke and in trouble--they couldn't afford to pay $300 to have thier babies born in a hospital.  I couldn't turn my back on them.  I swore an oath when I became a midwife that I'd help the ones that needed it, and that's what I done.""  ",Charles Nicholas,,,no,Photograph,Midwives; Midwifery,"Marked Tree, AR; Poinsett County, AR; Hardemann County, TN",35.5329,-90.4207,,UA Little Rock Center for Arkansas History and Culture,,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.","African Americans photograph collection, ca. 1890-1954 (UALR.PH.0052)",Image; Still Image,eng,
wocim020,,fiIsjdXnKt4,M. Joycelyn Elders: Personal Experiences in Medical School,video/mpeg,,Visionary Project,,"August 13, 1993 -",no,Photograph,University of Arkansas for Medical Sciences; Arkansas Children's Hospital; Philander Smith College; University of Minnesota; Arkansas Department of Health; U.S. Surgeon General; Pediatric Endocrinology; Arkansas Black Fall of Fame; Arkansas Womens Hall of Fame ,"Schaal, AR; Little Rock, AR; Washington, D.C.",,,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim021,mamiekenclark_f.jpg,,"Mamie Phipps and Kenneth Clark, founders of the Northside Center for Child Development",image/jpeg,"Mamie Phipps Clark was the first African American woman to graduate from Columbia University with a doctorate in psycology.  She opened the Northside Testing and Consultation Center in Harlem, which was the first practice in the area to offer psychological and casework services to local families. ",,,"October 19, 1917 - August 11, 1983",no,Photograph,Columbia University; Howard University; Mount Sinai Medical Center; Northside Center for Child Development; Riverside Home for Children; Psychiatry," Hot Springs, AR; Washington, D.C.; New York, NY",40.79392,-73.9466,,"Historical Research Center, UAMS Library",Garland County Historical Society / Central Arkansas Library System,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Audio,eng,
wocim022,,GdOe8DyovfQ,Stay-at-Home Lecture - Edith Irby Jones,video/mpeg,"Dr. Edith Mae Irby Jones was the first African American student accepted to the University of Arkansas Medical School (UAMS), the first African American accepted to any all-White medical school in the South, and the first woman president of the National Medical Association.",,,"December 23, 1927 - July 15, 2019",no,Photograph,University of Arkansas for Medical Sciences; Baylor College of Medicine; National Medical Association; Freedman's Hospital,"Houston, TX; Little Rock, AR; Hot Springs, AR",,,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Audio,eng,
wocim023,,kGwHyBxVvD4,Kathryn Hall-Trujillo: Birthing Project USA,video/mpeg,"Kathryn Hall Trujillo founded the nonprofit organization Birthing Project USA, which has the goal of reducing infant mortality rates.  Dr. Hall Trujillo is a public health expert and advocate who focuses on healthcare for African American women.",Park Triangle Productions,,,no,Photograph,Birthing Project USA; Cuban National School of Public Health; Arkansas Black Hall of Fame,"Pine Bluff, AR; Los Angeles, CA; Albuquerque, NM; Havana, Cuba",,,,YouTube,,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Audio,eng,
wocim024,uw_633_full.jpg,,"Lena Lowe Jordan, Mosaic Templars of America",image/jpeg,"Lena Lowe Jordan was an African-American registered nurse and hospital administrator who managed two institutions for African Americans, a hospital for the care of crippled children, which later became a general hospital. In addition, she began a unique training program for young black women who wanted to become practical nurses.",,,"April 6, 1884 - September 30, 1950",,Photograph,Lena Jordan Hospital; Arkansas Home and Hospital for Crippled Negro Children; Charity Hospital of Savannah; Midwifery; Midwives; Mosaic Templars Hospital; Nurses; Hospital administrators; Obstetrics & Gynecology,,34.7406904,-92.2763403,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim025,EdithIrbyJones789.jpg,,"Dr. Edith Irby Jones, UAMS",image/jpeg,"Dr. Edith Mae Irby Jones was the first African American student accepted to the University of Arkansas Medical School (UAMS), the first African American accepted to any all-White medical school in the South, and the first woman president of the National Medical Association.",,,"December 23, 1927 - July 15, 2019",,Photograph,University of Arkansas for Medical Sciences; Baylor College of Medicine; National Medical Association; Freedman's Hospital,"Houston, TX; Little Rock, AR; Hot Springs, AR",,,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim026,0109-sophronia-williams-pic-7426.jpg,,Sophronia Reacie Williams,image/jpeg,"Sophronia Reacie Williams was born June 19, 1929 in Little Rock, Arkansas.  Dr. Williams worked as a nurse and nurse educator for forty-six years specializing in mental health.  She retired from UAMS at the age of sixty-nine and was among the first African-American nurses to integrate hospitals in Missouri, Ohio, and Colorado.  Reflecting on her impactful career, Dr. Williams observed ""I really cared.  I do a lot of giving of myself to people.  I did show I cared about them, treating them as human beings.""",Aprille Hanson,,"January 11, 2021",,Photograph,"University of Arkansas for Medical Sciences; Washington University; Southern Illinois University in Carbondale; Veterans Affaris Hospital (MO), Malcolm Bliss Psychiatric Hospital; Case Western Reserve University at Frances Payne Bolton; College of Nursing at the University of Colorado in Denver; Nurses; Psychiatry","Little Rock, AR; St. Louis, MO; Cleveland, OH; Denver, CO",34.7399,-92.3303,,Arkansas Catholic,https://www.arkansas-catholic.org/news/article/6810/Williams-paved-the-way-for-Black-nurses-in-Arkansas,,,"July 19, 1929 -","Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim027,C60EA868.jpg,,"Group portrait of African-American Midwives in Forrest City, Arkansas",image/jpeg,"The Arkansas Board of Health took this group portrait of black midwives in Forrest City, AR in 1929.  Midwives were specially trained to help women who were delevering a baby when doctors were not available.  They were vital care givers in a community.",Arkansas Board of Health,,1929,yes,Photograph,Midwives; Midwifery,"Forrest City, AR",35.0081,-90.7898,,UA Little Rock Center for Arkansas History and Culture,,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim028,p15728coll1_11730_large.jpg,,Mamie Odessa Hale Garland training program,image/jpeg,"Group photograph of African-American women studying techinques of midwifery in a school gym in Marion, Arkansas.  The women are participating in the Mamie Odessa Hale Garland program.  Midwives were specially trained to help women who were delevering a baby when doctors were not available.  They were vital care givers in a community.",,,,,Photograph,Midwives; Midwifery,,35.2145,-90.1965,,UA Little Rock Center for Arkansas History and Culture,https://arstudies.contentdm.oclc.org/digital/collection/p15728coll1/id/11730/,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
wocim029,42679B6C.jpg,,"Suzanne Burton, Home Care Professional",image/jpeg,,,,,no,Photograph,Nurse; St. Anthony's Hospital; Conway County Hospital; University of Central Arkansas,"Morrilton, AR; ",35.0781,-92.4579,,"Historical Research Center, UAMS Library",,,,,"Standard Federal Copyright Laws Apply (U.S.) Title 17).  For inquiry, please contact the Historical Research Center at hrc@uams.edu or by calling (501) 686-6735.",,Image; Still Image,eng,
